,count,mean,min,25%,50%,75%,max,std
temperature,17.0,3.1176470588235294,2.0,2.0,3.0,4.0,5.0,0.9926198253344826
windSpeed,17.0,10.705882352941176,4.0,7.0,11.0,13.0,19.0,4.194709553150744
windDirection,17.0,50.294117647058826,0.0,45.0,45.0,90.0,90.0,31.34837457086562
humidity,17.0,93.94117647058823,87.0,91.0,95.0,97.0,97.0,3.381393725878689
rainfall,17.0,0.19117647058823528,0.0,0.01,0.01,0.3,1.0,0.27604081113444934
pressure,17.0,1002.7647058823529,999.0,1000.0,1003.0,1005.0,1008.0,2.926803114421644
date,17,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,
